opportunity_id,sales_agent,product,product_series,account,sector,account_revenue,account_employees,deal_stage,engage_date,engagement_age_days,account_tier,product_value_tier,engagement_age_band,crm_priority_score,priority_tier
0558PJL2,Corliss Cosme,GTX Basic,GTX,,,,,Engaging,2017-09-11,111,Unassigned Account,Low Value,Aging (91-180 days),55,Tier 2 — Medium Priority
055Z2OAS,Anna Snelling,MG Special,MG,Dontechi,software,4618.0,10083.0,Engaging,2017-07-19,165,Enterprise,Low Value,Aging (91-180 days),75,Tier 1 — High Priority
059K86LU,Kami Bicknell,GTX Plus Pro,GTX,Labdrill,medical,2741.37,9226.0,Engaging,2017-08-26,127,Enterprise,High Value,Aging (91-180 days),95,Tier 1 — High Priority
06C1N1F7,Elease Gluck,MG Special,MG,,,,,Engaging,2017-10-05,87,Unassigned Account,Low Value,Recent (<= 90 days),60,Tier 2 — Medium Priority
07GUKIG3,Violet Mclelland,MG Special,MG,,,,,Engaging,2017-12-05,26,Unassigned Account,Low Value,Recent (<= 90 days),60,Tier 2 — Medium Priority
0A1LN7GB,Violet Mclelland,MG Special,MG,,,,,Engaging,2017-03-09,297,Unassigned Account,Low Value,Stalled / Critical (> 180 days),50,Tier 3 — Lower Priority
0AQGBN7B,Maureen Marcano,GTX Plus Basic,GTX,,,,,Engaging,2017-05-08,237,Unassigned Account,Medium Value,Stalled / Critical (> 180 days),60,Tier 2 — Medium Priority
0BQTT5UF,Marty Freudenburg,GTX Pro,GTX,Donware,marketing,1197.44,2570.0,Prospecting,,0,Mid-Market,High Value,Unengaged (Prospecting),60,Tier 2 — Medium Priority
0C34Z5UZ,Gladys Colclough,GTX Pro,GTX,,,,,Prospecting,,0,Unassigned Account,High Value,Unengaged (Prospecting),50,Tier 3 — Lower Priority
0CECGPEJ,Moses Frase,MG Advanced,MG,,,,,Prospecting,,0,Unassigned Account,Medium Value,Unengaged (Prospecting),40,Tier 3 — Lower Priority
0CR37ETK,Corliss Cosme,MG Advanced,MG,,,,,Engaging,2017-11-05,56,Unassigned Account,Medium Value,Recent (<= 90 days),70,Tier 2 — Medium Priority
0D37PQA0,Violet Mclelland,GTX Plus Basic,GTX,,,,,Engaging,2017-07-08,176,Unassigned Account,Medium Value,Aging (91-180 days),65,Tier 2 — Medium Priority
0D8Y5JA0,Anna Snelling,GTX Plus Pro,GTX,,,,,Prospecting,,0,Unassigned Account,High Value,Unengaged (Prospecting),50,Tier 3 — Lower Priority
0DRC1U9Q,Maureen Marcano,GTX Basic,GTX,Green-Plus,services,692.19,1922.0,Engaging,2016-11-20,406,Mid-Market,Low Value,Stalled / Critical (> 180 days),60,Tier 2 — Medium Priority
0E8D6TCQ,Moses Frase,GTX Plus Basic,GTX,,,,,Prospecting,,0,Unassigned Account,Medium Value,Unengaged (Prospecting),40,Tier 3 — Lower Priority
0EYXI1UN,Hayden Neloms,MG Advanced,MG,,,,,Engaging,2017-04-19,256,Unassigned Account,Medium Value,Stalled / Critical (> 180 days),60,Tier 2 — Medium Priority
0GS0L5VR,Anna Snelling,MG Special,MG,,,,,Engaging,2017-08-14,139,Unassigned Account,Low Value,Aging (91-180 days),55,Tier 2 — Medium Priority
0H9C9J03,Markita Hansen,GTX Plus Basic,GTX,,,,,Engaging,2017-08-25,128,Unassigned Account,Medium Value,Aging (91-180 days),65,Tier 2 — Medium Priority
0HR4TEU4,Marty Freudenburg,GTX Plus Basic,GTX,Plussunin,retail,1419.98,4018.0,Prospecting,,0,Mid-Market,Medium Value,Unengaged (Prospecting),50,Tier 3 — Lower Priority
0HUWQWOJ,Markita Hansen,MG Special,MG,,,,,Engaging,2017-10-09,83,Unassigned Account,Low Value,Recent (<= 90 days),60,Tier 2 — Medium Priority
0HVUV9OY,Gladys Colclough,GTX Basic,GTX,,,,,Engaging,2017-07-21,163,Unassigned Account,Low Value,Aging (91-180 days),55,Tier 2 — Medium Priority
0I6U3MQ6,Violet Mclelland,GTX Basic,GTX,Funholding,finance,2819.5,7227.0,Engaging,2017-01-12,353,Enterprise,Low Value,Stalled / Critical (> 180 days),70,Tier 2 — Medium Priority
0IO43YMS,Wilburn Farren,MG Advanced,MG,,,,,Engaging,2017-02-20,314,Unassigned Account,Medium Value,Stalled / Critical (> 180 days),60,Tier 2 — Medium Priority
0K59ZLQC,Corliss Cosme,GTX Basic,GTX,Donquadtech,technology,1712.68,3194.0,Engaging,2017-05-18,227,Mid-Market,Low Value,Stalled / Critical (> 180 days),60,Tier 2 — Medium Priority
0KEO3OP7,Daniell Hammack,GTX Plus Pro,GTX,,,,,Engaging,2017-04-27,248,Unassigned Account,High Value,Stalled / Critical (> 180 days),70,Tier 2 — Medium Priority
0KRVN3V5,Anna Snelling,MG Advanced,MG,Hatfan,services,792.46,1299.0,Engaging,2017-07-21,163,Mid-Market,Medium Value,Aging (91-180 days),75,Tier 1 — High Priority
0KSK9O00,Lajuana Vencill,GTX Basic,GTX,Bluth Company,technology,1242.32,3027.0,Prospecting,,0,Mid-Market,Low Value,Unengaged (Prospecting),40,Tier 3 — Lower Priority
0KWYQTQQ,Rosalina Dieter,MG Special,MG,,,,,Engaging,2017-11-10,51,Unassigned Account,Low Value,Recent (<= 90 days),60,Tier 2 — Medium Priority
0LRVHITK,Violet Mclelland,MG Special,MG,,,,,Engaging,2017-06-16,198,Unassigned Account,Low Value,Stalled / Critical (> 180 days),50,Tier 3 — Lower Priority
0M3NCPQX,Versie Hillebrand,MG Special,MG,,,,,Engaging,2017-07-30,154,Unassigned Account,Low Value,Aging (91-180 days),55,Tier 2 — Medium Priority
0M4K6F8Q,Gladys Colclough,GTX Basic,GTX,,,,,Prospecting,,0,Unassigned Account,Low Value,Unengaged (Prospecting),30,Tier 3 — Lower Priority
0N11U6L3,Daniell Hammack,GTX Plus Basic,GTX,Acme Corporation,technology,1100.04,2822.0,Engaging,2017-10-30,62,Mid-Market,Medium Value,Recent (<= 90 days),80,Tier 1 — High Priority
0NSRB3EO,Jonathan Berthelot,MG Special,MG,,,,,Engaging,2017-07-20,164,Unassigned Account,Low Value,Aging (91-180 days),55,Tier 2 — Medium Priority
0OESOJNN,James Ascencio,GTX Plus Basic,GTX,Warephase,services,2041.73,5276.0,Engaging,2017-01-17,348,Enterprise,Medium Value,Stalled / Critical (> 180 days),80,Tier 1 — High Priority
0OHEJOI5,Corliss Cosme,MG Advanced,MG,,,,,Engaging,2017-08-13,140,Unassigned Account,Medium Value,Aging (91-180 days),65,Tier 2 — Medium Priority
0PT4RY4P,Cecily Lampkin,MG Advanced,MG,,,,,Engaging,2017-07-31,153,Unassigned Account,Medium Value,Aging (91-180 days),65,Tier 2 — Medium Priority
0PXJYUT7,Niesha Huffines,GTX Plus Basic,GTX,,,,,Prospecting,,0,Unassigned Account,Medium Value,Unengaged (Prospecting),40,Tier 3 — Lower Priority
0QMDTHBS,Jonathan Berthelot,MG Special,MG,,,,,Prospecting,,0,Unassigned Account,Low Value,Unengaged (Prospecting),30,Tier 3 — Lower Priority
0QPZIIPF,Vicki Laflamme,GTX Plus Basic,GTX,Donware,marketing,1197.44,2570.0,Engaging,2017-03-27,279,Mid-Market,Medium Value,Stalled / Critical (> 180 days),70,Tier 2 — Medium Priority
0R5KAHNB,Moses Frase,MG Advanced,MG,Umbrella Corporation,finance,2022.14,5113.0,Engaging,2017-08-03,150,Enterprise,Medium Value,Aging (91-180 days),85,Tier 1 — High Priority
0RI2I8ZL,Lajuana Vencill,GTX Basic,GTX,,,,,Engaging,2017-07-28,156,Unassigned Account,Low Value,Aging (91-180 days),55,Tier 2 — Medium Priority
0RLU8I9Q,Jonathan Berthelot,GTX Basic,GTX,,,,,Prospecting,,0,Unassigned Account,Low Value,Unengaged (Prospecting),30,Tier 3 — Lower Priority
0S6OQ9AO,Marty Freudenburg,GTX Plus Basic,GTX,,,,,Engaging,2017-07-24,160,Unassigned Account,Medium Value,Aging (91-180 days),65,Tier 2 — Medium Priority
0STR2QEA,Corliss Cosme,GTX Plus Pro,GTX,Inity,marketing,2403.58,8801.0,Engaging,2017-05-25,220,Enterprise,High Value,Stalled / Critical (> 180 days),90,Tier 1 — High Priority
0T2CY70E,Lajuana Vencill,MG Advanced,MG,,,,,Engaging,2017-07-22,162,Unassigned Account,Medium Value,Aging (91-180 days),65,Tier 2 — Medium Priority
0T9KUEQ2,Cassey Cress,GTX Plus Pro,GTX,,,,,Engaging,2017-07-11,173,Unassigned Account,High Value,Aging (91-180 days),75,Tier 1 — High Priority
0TC6I9SJ,Darcel Schlecht,GTX Pro,GTX,Dontechi,software,4618.0,10083.0,Engaging,2017-07-24,160,Enterprise,High Value,Aging (91-180 days),95,Tier 1 — High Priority
0TQP0E65,Darcel Schlecht,GTX Plus Basic,GTX,,,,,Prospecting,,0,Unassigned Account,Medium Value,Unengaged (Prospecting),40,Tier 3 — Lower Priority
0U3WVJO0,Corliss Cosme,GTX Pro,GTX,,,,,Engaging,2016-12-28,368,Unassigned Account,High Value,Stalled / Critical (> 180 days),70,Tier 2 — Medium Priority
0XBGT413,Gladys Colclough,GTX Pro,GTX,,,,,Engaging,2017-07-30,154,Unassigned Account,High Value,Aging (91-180 days),75,Tier 1 — High Priority
0XVL2UMH,Jonathan Berthelot,GTX Basic,GTX,Groovestreet,retail,223.8,299.0,Prospecting,,0,Commercial / Small,Low Value,Unengaged (Prospecting),35,Tier 3 — Lower Priority
0XYUJ7HF,Vicki Laflamme,MG Special,MG,Isdom,medical,3178.24,4540.0,Engaging,2017-08-23,130,Enterprise,Low Value,Aging (91-180 days),75,Tier 1 — High Priority
0Z8ZAS2M,Zane Levy,GTX Basic,GTX,,,,,Engaging,2017-07-21,163,Unassigned Account,Low Value,Aging (91-180 days),55,Tier 2 — Medium Priority
0ZG6U7MQ,Cecily Lampkin,GTX Plus Pro,GTX,,,,,Prospecting,,0,Unassigned Account,High Value,Unengaged (Prospecting),50,Tier 3 — Lower Priority
102XKYAC,Cassey Cress,GTX Pro,GTX,Zotware,software,4478.47,13809.0,Engaging,2017-09-01,121,Enterprise,High Value,Aging (91-180 days),95,Tier 1 — High Priority
10AEGW41,Kary Hendrixson,GTX Pro,GTX,,,,,Engaging,2017-04-16,259,Unassigned Account,High Value,Stalled / Critical (> 180 days),70,Tier 2 — Medium Priority
10ALJD82,Anna Snelling,MG Special,MG,Nam-zim,services,405.59,1179.0,Prospecting,,0,Mid-Market,Low Value,Unengaged (Prospecting),40,Tier 3 — Lower Priority
10IY4PV4,Rosalina Dieter,MG Advanced,MG,,,,,Engaging,2017-03-18,288,Unassigned Account,Medium Value,Stalled / Critical (> 180 days),60,Tier 2 — Medium Priority
10QE4JCA,Anna Snelling,MG Special,MG,,,,,Engaging,2017-07-28,156,Unassigned Account,Low Value,Aging (91-180 days),55,Tier 2 — Medium Priority
10THTNLC,Zane Levy,GTX Plus Basic,GTX,,,,,Engaging,2017-06-22,192,Unassigned Account,Medium Value,Stalled / Critical (> 180 days),60,Tier 2 — Medium Priority
11LIZUQE,Cassey Cress,MG Advanced,MG,,,,,Engaging,2017-07-24,160,Unassigned Account,Medium Value,Aging (91-180 days),65,Tier 2 — Medium Priority
11T4HX93,Jonathan Berthelot,MG Special,MG,Bluth Company,technology,1242.32,3027.0,Prospecting,,0,Mid-Market,Low Value,Unengaged (Prospecting),40,Tier 3 — Lower Priority
11V16SZZ,Corliss Cosme,GTX Basic,GTX,Labdrill,medical,2741.37,9226.0,Engaging,2017-05-24,221,Enterprise,Low Value,Stalled / Critical (> 180 days),70,Tier 2 — Medium Priority
125VIRMX,Elease Gluck,GTK 500,GTK,Warephase,services,2041.73,5276.0,Engaging,2016-12-19,377,Enterprise,High Value,Stalled / Critical (> 180 days),90,Tier 1 — High Priority
13FIM9V3,Corliss Cosme,GTX Pro,GTX,,,,,Engaging,2017-06-24,190,Unassigned Account,High Value,Stalled / Critical (> 180 days),70,Tier 2 — Medium Priority
13GM5I6M,Kami Bicknell,GTX Pro,GTX,,,,,Engaging,2016-12-29,367,Unassigned Account,High Value,Stalled / Critical (> 180 days),70,Tier 2 — Medium Priority
14CNQKX8,Kary Hendrixson,GTX Pro,GTX,,,,,Engaging,2017-06-21,193,Unassigned Account,High Value,Stalled / Critical (> 180 days),70,Tier 2 — Medium Priority
18IUIUK0,Versie Hillebrand,MG Advanced,MG,,,,,Prospecting,,0,Unassigned Account,Medium Value,Unengaged (Prospecting),40,Tier 3 — Lower Priority
18YA4UUP,Versie Hillebrand,GTX Plus Pro,GTX,Xx-zobam,entertainment,3838.39,8274.0,Engaging,2017-07-27,157,Enterprise,High Value,Aging (91-180 days),95,Tier 1 — High Priority
1969NL80,Moses Frase,MG Special,MG,,,,,Prospecting,,0,Unassigned Account,Low Value,Unengaged (Prospecting),30,Tier 3 — Lower Priority
1976N63N,Darcel Schlecht,GTX Plus Basic,GTX,Kinnamplus,retail,702.72,1831.0,Engaging,2017-07-26,158,Mid-Market,Medium Value,Aging (91-180 days),75,Tier 1 — High Priority
197EQMY8,Kami Bicknell,GTX Pro,GTX,,,,,Engaging,2017-09-20,102,Unassigned Account,High Value,Aging (91-180 days),75,Tier 1 — High Priority
1B27CZ2M,James Ascencio,GTX Plus Pro,GTX,,,,,Engaging,2017-03-10,296,Unassigned Account,High Value,Stalled / Critical (> 180 days),70,Tier 2 — Medium Priority
1BB5LME9,Marty Freudenburg,MG Special,MG,Globex Corporation,technology,1223.72,2497.0,Prospecting,,0,Mid-Market,Low Value,Unengaged (Prospecting),40,Tier 3 — Lower Priority
1BW8S7JD,Violet Mclelland,MG Special,MG,,,,,Engaging,2017-11-06,55,Unassigned Account,Low Value,Recent (<= 90 days),60,Tier 2 — Medium Priority
1D54L027,Wilburn Farren,MG Advanced,MG,,,,,Engaging,2017-01-25,340,Unassigned Account,Medium Value,Stalled / Critical (> 180 days),60,Tier 2 — Medium Priority
1DC9PQ4S,Versie Hillebrand,MG Special,MG,,,,,Engaging,2017-08-01,152,Unassigned Account,Low Value,Aging (91-180 days),55,Tier 2 — Medium Priority
1FAU5C6V,Versie Hillebrand,MG Special,MG,,,,,Prospecting,,0,Unassigned Account,Low Value,Unengaged (Prospecting),30,Tier 3 — Lower Priority
1FEHFRKX,Anna Snelling,GTX Plus Pro,GTX,Labdrill,medical,2741.37,9226.0,Engaging,2017-07-20,164,Enterprise,High Value,Aging (91-180 days),95,Tier 1 — High Priority
1FLN8BTI,Darcel Schlecht,MG Special,MG,Rundofase,technology,1008.06,1238.0,Engaging,2017-08-01,152,Mid-Market,Low Value,Aging (91-180 days),65,Tier 2 — Medium Priority
1GIP77EP,Maureen Marcano,GTX Plus Pro,GTX,,,,,Engaging,2017-02-21,313,Unassigned Account,High Value,Stalled / Critical (> 180 days),70,Tier 2 — Medium Priority
1GT10YJD,Vicki Laflamme,GTX Plus Pro,GTX,,,,,Engaging,2017-03-17,289,Unassigned Account,High Value,Stalled / Critical (> 180 days),70,Tier 2 — Medium Priority
1H1YDS7C,Maureen Marcano,GTX Plus Basic,GTX,,,,,Engaging,2017-02-26,308,Unassigned Account,Medium Value,Stalled / Critical (> 180 days),60,Tier 2 — Medium Priority
1HD5JJM3,Moses Frase,GTX Plus Basic,GTX,,,,,Prospecting,,0,Unassigned Account,Medium Value,Unengaged (Prospecting),40,Tier 3 — Lower Priority
1K6HY455,Boris Faz,MG Advanced,MG,,,,,Engaging,2017-05-09,236,Unassigned Account,Medium Value,Stalled / Critical (> 180 days),60,Tier 2 — Medium Priority
1L68AC0E,Wilburn Farren,GTX Pro,GTX,Gogozoom,telecommunications,86.68,187.0,Engaging,2017-10-04,88,Commercial / Small,High Value,Recent (<= 90 days),85,Tier 1 — High Priority
1LHU0876,Elease Gluck,MG Advanced,MG,Labdrill,medical,2741.37,9226.0,Engaging,2017-09-22,100,Enterprise,Medium Value,Aging (91-180 days),85,Tier 1 — High Priority
1LWG4COF,Darcel Schlecht,GTX Plus Basic,GTX,,,,,Prospecting,,0,Unassigned Account,Medium Value,Unengaged (Prospecting),40,Tier 3 — Lower Priority
1LY8CAXD,Rosalina Dieter,GTK 500,GTK,Betasoloin,medical,251.41,495.0,Engaging,2017-09-27,95,Commercial / Small,High Value,Aging (91-180 days),80,Tier 1 — High Priority
1MQ3015O,Niesha Huffines,GTX Plus Basic,GTX,,,,,Engaging,2017-08-15,138,Unassigned Account,Medium Value,Aging (91-180 days),65,Tier 2 — Medium Priority
1O72EKFY,James Ascencio,GTX Plus Pro,GTX,,,,,Engaging,2017-07-31,153,Unassigned Account,High Value,Aging (91-180 days),75,Tier 1 — High Priority
1ORXGKVH,Kary Hendrixson,GTX Pro,GTX,Sonron,telecommunications,1699.85,5108.0,Engaging,2017-06-17,197,Enterprise,High Value,Stalled / Critical (> 180 days),90,Tier 1 — High Priority
1QKDD1OI,Darcel Schlecht,GTX Pro,GTX,Isdom,medical,3178.24,4540.0,Engaging,2017-07-25,159,Enterprise,High Value,Aging (91-180 days),95,Tier 1 — High Priority
1R2CLEGQ,Anna Snelling,MG Special,MG,,,,,Engaging,2017-07-20,164,Unassigned Account,Low Value,Aging (91-180 days),55,Tier 2 — Medium Priority
1RXGKOUE,Versie Hillebrand,GTX Plus Pro,GTX,,,,,Engaging,2017-07-29,155,Unassigned Account,High Value,Aging (91-180 days),75,Tier 1 — High Priority
1T5WFCEJ,Anna Snelling,GTX Plus Pro,GTX,,,,,Engaging,2017-07-27,157,Unassigned Account,High Value,Aging (91-180 days),75,Tier 1 — High Priority
1UW6ILCH,Maureen Marcano,GTX Basic,GTX,Bioplex,medical,326.82,1016.0,Engaging,2017-09-05,117,Mid-Market,Low Value,Aging (91-180 days),65,Tier 2 — Medium Priority
1VFT3UCK,Boris Faz,GTX Plus Basic,GTX,Condax,medical,4.54,9.0,Engaging,2017-08-21,132,Commercial / Small,Medium Value,Aging (91-180 days),70,Tier 2 — Medium Priority
1WHXI2RW,Markita Hansen,GTX Plus Basic,GTX,,,,,Engaging,2017-02-19,315,Unassigned Account,Medium Value,Stalled / Critical (> 180 days),60,Tier 2 — Medium Priority
1XJFMYCW,Anna Snelling,MG Special,MG,Golddex,finance,52.5,165.0,Engaging,2017-07-27,157,Commercial / Small,Low Value,Aging (91-180 days),60,Tier 2 — Medium Priority
1XR36ESV,Darcel Schlecht,MG Advanced,MG,,,,,Prospecting,,0,Unassigned Account,Medium Value,Unengaged (Prospecting),40,Tier 3 — Lower Priority
1Y58TSUU,Violet Mclelland,MG Special,MG,,,,,Engaging,2017-08-30,123,Unassigned Account,Low Value,Aging (91-180 days),55,Tier 2 — Medium Priority
1ZDDZD8B,Markita Hansen,MG Special,MG,,,,,Engaging,2016-12-15,381,Unassigned Account,Low Value,Stalled / Critical (> 180 days),50,Tier 3 — Lower Priority
20CVXRTX,Vicki Laflamme,GTX Pro,GTX,Kinnamplus,retail,702.72,1831.0,Engaging,2017-04-01,274,Mid-Market,High Value,Stalled / Critical (> 180 days),80,Tier 1 — High Priority
21OMR381,Corliss Cosme,MG Special,MG,,,,,Engaging,2017-07-12,172,Unassigned Account,Low Value,Aging (91-180 days),55,Tier 2 — Medium Priority
22HV3N2W,Niesha Huffines,GTX Plus Basic,GTX,Rangreen,technology,2938.67,8775.0,Engaging,2017-08-01,152,Enterprise,Medium Value,Aging (91-180 days),85,Tier 1 — High Priority
22TUMCKT,Jonathan Berthelot,GTX Basic,GTX,,,,,Prospecting,,0,Unassigned Account,Low Value,Unengaged (Prospecting),30,Tier 3 — Lower Priority
23J295J4,Rosalina Dieter,MG Special,MG,Xx-holding,finance,7537.24,20293.0,Engaging,2017-08-21,132,Enterprise,Low Value,Aging (91-180 days),75,Tier 1 — High Priority
23NAJF9W,Zane Levy,GTX Pro,GTX,Plussunin,retail,1419.98,4018.0,Engaging,2017-06-26,188,Mid-Market,High Value,Stalled / Critical (> 180 days),80,Tier 1 — High Priority
246MLWZ7,Zane Levy,GTX Basic,GTX,Rangreen,technology,2938.67,8775.0,Engaging,2017-05-09,236,Enterprise,Low Value,Stalled / Critical (> 180 days),70,Tier 2 — Medium Priority
24K085JJ,Maureen Marcano,GTX Plus Basic,GTX,,,,,Engaging,2017-09-15,107,Unassigned Account,Medium Value,Aging (91-180 days),65,Tier 2 — Medium Priority
24REVMX7,Rosalina Dieter,GTX Basic,GTX,,,,,Engaging,2017-06-25,189,Unassigned Account,Low Value,Stalled / Critical (> 180 days),50,Tier 3 — Lower Priority
25FUROM1,Daniell Hammack,GTX Plus Basic,GTX,Y-corporation,employment,2871.35,9561.0,Engaging,2017-02-27,307,Enterprise,Medium Value,Stalled / Critical (> 180 days),80,Tier 1 — High Priority
26CH1NDR,Daniell Hammack,GTX Basic,GTX,Mathtouch,marketing,3027.46,9516.0,Engaging,2017-03-09,297,Enterprise,Low Value,Stalled / Critical (> 180 days),70,Tier 2 — Medium Priority
27REMGYU,James Ascencio,GTX Basic,GTX,,,,,Engaging,2017-08-12,141,Unassigned Account,Low Value,Aging (91-180 days),55,Tier 2 — Medium Priority
27ZK0L0F,Niesha Huffines,GTX Basic,GTX,,,,,Prospecting,,0,Unassigned Account,Low Value,Unengaged (Prospecting),30,Tier 3 — Lower Priority
283MDYKM,Moses Frase,GTX Plus Basic,GTX,,,,,Engaging,2017-07-31,153,Unassigned Account,Medium Value,Aging (91-180 days),65,Tier 2 — Medium Priority
2872DC79,Moses Frase,MG Advanced,MG,,,,,Prospecting,,0,Unassigned Account,Medium Value,Unengaged (Prospecting),40,Tier 3 — Lower Priority
28EJ0L9T,Darcel Schlecht,GTX Plus Pro,GTX,,,,,Prospecting,,0,Unassigned Account,High Value,Unengaged (Prospecting),50,Tier 3 — Lower Priority
298J5EM0,Vicki Laflamme,GTX Basic,GTX,,,,,Engaging,2017-08-09,144,Unassigned Account,Low Value,Aging (91-180 days),55,Tier 2 — Medium Priority
29W6WPLA,Jonathan Berthelot,GTX Plus Basic,GTX,Gekko & Co,retail,2520.83,3502.0,Engaging,2017-07-20,164,Enterprise,Medium Value,Aging (91-180 days),85,Tier 1 — High Priority
2BD1SDBX,Jonathan Berthelot,GTX Basic,GTX,Vehement Capital Partners,finance,646.1,883.0,Prospecting,,0,Mid-Market,Low Value,Unengaged (Prospecting),40,Tier 3 — Lower Priority
2BXYT4PD,Hayden Neloms,GTX Plus Pro,GTX,Funholding,finance,2819.5,7227.0,Engaging,2017-05-18,227,Enterprise,High Value,Stalled / Critical (> 180 days),90,Tier 1 — High Priority
2CZUU9E0,Lajuana Vencill,GTX Basic,GTX,,,,,Engaging,2017-07-22,162,Unassigned Account,Low Value,Aging (91-180 days),55,Tier 2 — Medium Priority
2DY9U1V7,Rosie Papadopoulos,GTX Pro,GTX,Konex,technology,7708.38,13756.0,Engaging,2017-10-20,72,Enterprise,High Value,Recent (<= 90 days),100,Tier 1 — High Priority
2E2FDZHG,Niesha Huffines,GTX Pro,GTX,,,,,Engaging,2017-08-02,151,Unassigned Account,High Value,Aging (91-180 days),75,Tier 1 — High Priority
2F41W100,Daniell Hammack,GTX Plus Basic,GTX,,,,,Engaging,2017-08-26,127,Unassigned Account,Medium Value,Aging (91-180 days),65,Tier 2 — Medium Priority
2FM8HJDM,Vicki Laflamme,MG Advanced,MG,,,,,Engaging,2017-09-20,102,Unassigned Account,Medium Value,Aging (91-180 days),65,Tier 2 — Medium Priority
2FMT1053,Hayden Neloms,MG Advanced,MG,,,,,Engaging,2017-05-18,227,Unassigned Account,Medium Value,Stalled / Critical (> 180 days),60,Tier 2 — Medium Priority
2FNTCPOU,Vicki Laflamme,GTX Plus Pro,GTX,,,,,Engaging,2017-06-25,189,Unassigned Account,High Value,Stalled / Critical (> 180 days),70,Tier 2 — Medium Priority
2G5ZMOYC,Versie Hillebrand,GTX Basic,GTX,Scottech,marketing,45.39,100.0,Prospecting,,0,Commercial / Small,Low Value,Unengaged (Prospecting),35,Tier 3 — Lower Priority
2GFL3TAF,Darcel Schlecht,GTX Pro,GTX,,,,,Engaging,2017-07-25,159,Unassigned Account,High Value,Aging (91-180 days),75,Tier 1 — High Priority
2GV66JA7,Daniell Hammack,MG Advanced,MG,,,,,Engaging,2017-04-06,269,Unassigned Account,Medium Value,Stalled / Critical (> 180 days),60,Tier 2 — Medium Priority
2HS1C21I,Elease Gluck,GTX Pro,GTX,,,,,Engaging,2017-04-03,272,Unassigned Account,High Value,Stalled / Critical (> 180 days),70,Tier 2 — Medium Priority
2HT2R2GY,Cassey Cress,GTX Plus Pro,GTX,,,,,Engaging,2016-12-29,367,Unassigned Account,High Value,Stalled / Critical (> 180 days),70,Tier 2 — Medium Priority
2I7IFY8D,Darcel Schlecht,GTX Pro,GTX,,,,,Engaging,2017-07-29,155,Unassigned Account,High Value,Aging (91-180 days),75,Tier 1 — High Priority
2IRZM0LB,Darcel Schlecht,GTX Pro,GTX,Xx-zobam,entertainment,3838.39,8274.0,Prospecting,,0,Enterprise,High Value,Unengaged (Prospecting),70,Tier 2 — Medium Priority
2J5E145N,Daniell Hammack,GTX Pro,GTX,,,,,Engaging,2017-02-07,327,Unassigned Account,High Value,Stalled / Critical (> 180 days),70,Tier 2 — Medium Priority
2JY9SQ2L,Vicki Laflamme,MG Special,MG,,,,,Engaging,2017-03-18,288,Unassigned Account,Low Value,Stalled / Critical (> 180 days),50,Tier 3 — Lower Priority
2KWJIZX6,Lajuana Vencill,GTX Plus Basic,GTX,,,,,Engaging,2017-08-10,143,Unassigned Account,Medium Value,Aging (91-180 days),65,Tier 2 — Medium Priority
